part_id,task_id,trial_id,section,op_type,nom_trans_amp,nom_trans_width,nom_rot_amp,nom_rot_width,eff_trans_amp,eff_trans_width,eff_rot_amp,eff_rot_width,nom_trans_fid,nom_rot_fid,eff_trans_fid,eff_rot_fid,trans,path_trans,rot,path_rot,move_time,norm_abs_diff
2,1,1,1,kt,0.5574,7.5e-05,0.0,1.0,0.521139795175511,0.0001691255041819,0.0575589521136945,0.0026955093539924,12.85972889267839,0.0,11.589828597277146,4.482438246732277,0.5311153729652344,0.658166757886351,0.0460595009643978,1.131874561259158,29.467,0.1822121564228732
2,1,1,2,kt,0.4826,0.0004,0.0,1.0,0.4600336367387201,0.0027156355390036,0.1122687525925749,0.0464455801205933,10.237807473723135,0.0,7.412797040244911,1.7728191990441453,0.4721691101713453,0.563027023252169,0.1190039077824147,0.813020892450259,13.066999999999997,0.2028100542762939
2,1,2,1,kt,0.5574,7.5e-05,0.0,1.0,0.521139795175511,0.0001691255041819,0.0575589521136945,0.0026955093539924,12.85972889267839,0.0,11.589828597277146,4.482438246732277,0.5151590996963947,0.5832588862199352,0.053579336494275,0.7317015670674148,16.6,0.2118670398071826
2,1,2,2,kt,0.4826,0.0004,0.0,1.0,0.4600336367387201,0.0027156355390036,0.1122687525925749,0.0464455801205933,10.237807473723135,0.0,7.412797040244911,1.7728191990441453,0.4492621170319171,0.5565046488443988,0.1120437229599796,0.7112512096550017,11.533,0.2894753232960809
2,1,3,1,kt,0.5574,7.5e-05,0.0,1.0,0.521139795175511,0.0001691255041819,0.0575589521136945,0.0026955093539924,12.85972889267839,0.0,11.589828597277146,4.482438246732277,0.5078654543282108,0.5526397530258421,0.0650625458709746,0.5321827590099635,9.8,0.2875574950253425
2,1,3,2,kt,0.4826,0.0004,0.0,1.0,0.4600336367387201,0.0027156355390036,0.1122687525925749,0.0464455801205933,10.237807473723135,0.0,7.412797040244911,1.7728191990441453,0.4522735599170042,0.5309935045586939,0.3328175441354716,0.6486447908504069,9.6,0.0924397950834838
2,2,1,1,kt,0.4946,0.0003,0.7071,0.7071,0.4917730678984338,8.247271526418396e-05,0.7633915419902024,0.0015275230635848,10.687958826145849,1.0,12.542030127180338,8.967969133241246,0.4887842895388516,0.6074849174607484,0.7518934337882548,1.1848148808691807,15.933,0.2742240366937095
2,2,1,2,kt,0.3187,5e-05,0.7071,0.8939,0.3090927301401294,0.0009002100512995,0.7786151123421085,0.0014086161787285,12.638209626633582,0.8407879556432915,8.42775797123063,9.113095643490404,0.2842850008354292,0.4406371183638873,0.8058728212319051,1.2168542540041232,20.734,0.1081243693649569
2,2,2,1,kt,0.4946,0.0003,0.7071,0.7071,0.4917730678984338,8.247271526418396e-05,0.7633915419902024,0.0015275230635848,10.687958826145849,1.0,12.542030127180338,8.967969133241246,0.4900681379155351,0.5762778294715645,0.7602904477304312,1.032173640502021,10.867,0.2337404719735118
2,2,2,2,kt,0.3187,5e-05,0.7071,0.8939,0.3090927301401294,0.0009002100512995,0.7786151123421085,0.0014086161787285,12.638209626633582,0.8407879556432915,8.42775797123063,9.113095643490404,0.2747603053572331,0.4218384853076762,0.7744434172142963,1.2323696245252476,13.466,0.1496247354151658
2,2,3,1,kt,0.4946,0.0003,0.7071,0.7071,0.4917730678984338,8.247271526418396e-05,0.7633915419902024,0.0015275230635848,10.687958826145849,1.0,12.542030127180338,8.967969133241246,0.4828783567317963,0.5799536136945816,0.761076024228148,1.000412237196142,12.467,0.1937548675447147
2,2,3,2,kt,0.3187,5e-05,0.7071,0.8939,0.3090927301401294,0.0009002100512995,0.7786151123421085,0.0014086161787285,12.638209626633582,0.8407879556432915,8.42775797123063,9.113095643490404,0.266980781518071,0.4372728371769626,0.8158461417403353,1.2578363788626914,14.465999999999998,0.1145076256521012
2,3,1,1,kt,0.5723,0.0003,0.0,1.0,0.5837868994013448,0.0045882375762481,0.0437100659449086,0.0019947204053346,10.898349454278195,0.0,7.002652378368077,4.518086809800991,0.5540895641500568,0.6630352428821118,0.0912294823017134,0.5569342786330147,13.133,0.1280790051719372
2,3,1,2,kt,0.5123,2.69e-05,0.7071,0.866,0.437103157354664,0.0015506161781645,0.7924599285771817,0.0066706884338877,14.217170850029383,0.8611714539238478,8.14409724691869,6.904451859805616,0.4349523710706724,0.7917304488049464,2.3090358740172663,23.569276677113365,26.8,0.2287088691594435
2,3,2,1,kt,0.5723,0.0003,0.0,1.0,0.5837868994013448,0.0045882375762481,0.0437100659449086,0.0019947204053346,10.898349454278195,0.0,7.002652378368077,4.518086809800991,0.554732402605076,0.7513077760596967,0.0777510526168573,0.930535240611342,14.8,0.1924315319612336
2,3,2,2,kt,0.5123,2.69e-05,0.7071,0.866,0.437103157354664,0.0015506161781645,0.7924599285771817,0.0066706884338877,14.217170850029383,0.8611714539238478,8.14409724691869,6.904451859805616,0.4320529162035594,0.7359849766554742,2.296250818445642,4.573519039208137,25.134000000000004,0.2762327963039878
2,3,3,1,kt,0.5723,0.0003,0.0,1.0,0.5837868994013448,0.0045882375762481,0.0437100659449086,0.0019947204053346,10.898349454278195,0.0,7.002652378368077,4.518086809800991,0.5662054265017248,0.6842294469938182,0.0748667826597683,0.7179360022813186,15.8,0.1847895883475874
2,3,3,2,kt,0.5123,2.69e-05,0.7071,0.866,0.437103157354664,0.0015506161781645,0.7924599285771817,0.0066706884338877,14.217170850029383,0.8611714539238478,8.14409724691869,6.904451859805616,0.413044927822628,1.1546108040703909,2.326962586680829,24.410857104512147,42.333,0.1503680341820679
3,1,1,1,kt,0.5574,7.5e-05,0.0,1.0,0.521139795175511,0.0001691255041819,0.0575589521136945,0.0026955093539924,12.85972889267839,0.0,11.589828597277146,4.482438246732277,0.5130279865660352,0.5887236710869825,0.0983518198107117,0.3819351332332252,5.333,0.100115348907203
3,1,1,2,kt,0.4826,0.0004,0.0,1.0,0.4600336367387201,0.0027156355390036,0.1122687525925749,0.0464455801205933,10.237807473723135,0.0,7.412797040244911,1.7728191990441453,0.4783980314549799,0.5582337454477082,0.2269711682216094,0.575379538110621,7.000000000000001,0.1082317811581322
3,1,2,1,kt,0.5574,7.5e-05,0.0,1.0,0.521139795175511,0.0001691255041819,0.0575589521136945,0.0026955093539924,12.85972889267839,0.0,11.589828597277146,4.482438246732277,0.5238287806144295,0.5891259194465281,0.0479270659629562,0.7100450467309005,5.933,0.1243370968414596
3,1,2,2,kt,0.4826,0.0004,0.0,1.0,0.4600336367387201,0.0027156355390036,0.1122687525925749,0.0464455801205933,10.237807473723135,0.0,7.412797040244911,1.7728191990441453,0.4762604192036117,0.683766456310651,0.1232247440789243,0.6708248947505482,10.933,0.1483530301800441
3,1,3,1,kt,0.5574,7.5e-05,0.0,1.0,0.521139795175511,0.0001691255041819,0.0575589521136945,0.0026955093539924,12.85972889267839,0.0,11.589828597277146,4.482438246732277,0.5248077409871161,0.5953873973600434,0.0274127498867905,0.6254049935098739,7.4,0.1159933873647134
3,1,3,2,kt,0.4826,0.0004,0.0,1.0,0.4600336367387201,0.0027156355390036,0.1122687525925749,0.0464455801205933,10.237807473723135,0.0,7.412797040244911,1.7728191990441453,0.4553225075701837,0.6260851640859504,0.1202248647355256,0.4981204140536196,11.2,0.1225577893650661
3,2,1,1,kt,0.4946,0.0003,0.7071,0.7071,0.4917730678984338,8.247271526418396e-05,0.7633915419902024,0.0015275230635848,10.687958826145849,1.0,12.542030127180338,8.967969133241246,0.4952863519217949,0.5716799408732248,0.7816905668574332,1.2156249419105176,6.333,0.2280932197577831
3,2,1,2,kt,0.3187,5e-05,0.7071,0.8939,0.3090927301401294,0.0009002100512995,0.7786151123421085,0.0014086161787285,12.638209626633582,0.8407879556432915,8.42775797123063,9.113095643490404,0.2991482864734478,0.5245055123431136,0.7831376934418077,0.9801914282616988,10.4,0.0568996801808241
3,2,2,1,kt,0.4946,0.0003,0.7071,0.7071,0.4917730678984338,8.247271526418396e-05,0.7633915419902024,0.0015275230635848,10.687958826145849,1.0,12.542030127180338,8.967969133241246,0.4928540650131639,0.6056184729299942,0.7579054919271995,1.213596726470966,6.133,0.210456259490296
3,2,2,2,kt,0.3187,5e-05,0.7071,0.8939,0.3090927301401294,0.0009002100512995,0.7786151123421085,0.0014086161787285,12.638209626633582,0.8407879556432915,8.42775797123063,9.113095643490404,0.2955161405067412,0.5206070535316663,0.801688944791598,0.9418972798677526,8.667,0.0468125247735913
3,2,3,1,kt,0.4946,0.0003,0.7071,0.7071,0.4917730678984338,8.247271526418396e-05,0.7633915419902024,0.0015275230635848,10.687958826145849,1.0,12.542030127180338,8.967969133241246,0.4913089868911416,0.5693064266474345,0.7512348815078935,1.3341859440216577,5.4,0.2188030328028833
3,2,3,2,kt,0.3187,5e-05,0.7071,0.8939,0.3090927301401294,0.0009002100512995,0.7786151123421085,0.0014086161787285,12.638209626633582,0.8407879556432915,8.42775797123063,9.113095643490404,0.303928389921047,0.491458614433173,0.7940610425398972,0.9448657157600604,7.399999999999999,0.0295550442924229
3,3,1,1,kt,0.5723,0.0003,0.0,1.0,0.5837868994013448,0.0045882375762481,0.0437100659449086,0.0019947204053346,10.898349454278195,0.0,7.002652378368077,4.518086809800991,0.5582270042733511,0.7805179362501531,0.0118377884943116,0.9756419069074416,7.533,0.0701843288540837
3,3,1,2,kt,0.5123,2.69e-05,0.7071,0.866,0.437103157354664,0.0015506161781645,0.7924599285771817,0.0066706884338877,14.217170850029383,0.8611714539238478,8.14409724691869,6.904451859805616,0.3912741280739118,0.5440122681405439,2.325962357706933,4.286178413798611,10.334,0.3179234572170973
3,3,2,1,kt,0.5723,0.0003,0.0,1.0,0.5837868994013448,0.0045882375762481,0.0437100659449086,0.0019947204053346,10.898349454278195,0.0,7.002652378368077,4.518086809800991,0.5553571418465779,0.822540122844947,0.0126621223384273,0.9081519035356146,11.867,0.0746397722228123
3,3,2,2,kt,0.5123,2.69e-05,0.7071,0.866,0.437103157354664,0.0015506161781645,0.7924599285771817,0.0066706884338877,14.217170850029383,0.8611714539238478,8.14409724691869,6.904451859805616,0.3980624785131098,0.5667274783254602,2.339146936139103,4.199903628901037,11.533,0.2846141254899507
3,3,3,1,kt,0.5723,0.0003,0.0,1.0,0.5837868994013448,0.0045882375762481,0.0437100659449086,0.0019947204053346,10.898349454278195,0.0,7.002652378368077,4.518086809800991,0.5539036055127282,0.6843919531335961,0.0324496039025753,0.8831592526742136,6.733,0.1313545828947148
3,3,3,2,kt,0.5123,2.69e-05,0.7071,0.866,0.437103157354664,0.0015506161781645,0.7924599285771817,0.0066706884338877,14.217170850029383,0.8611714539238478,8.14409724691869,6.904451859805616,0.4053177275915772,0.4733392987108758,0.788646259802564,13.559701070263882,7.534000000000002,0.3695066816186453
